study_accession,sample_accession,submission_date,source,organism,strain,age,Strain,Age,sex,cell type,Sex
GSE38675,GSM947438,2012,whole brain of BAL17-induced lymphoma at day 28 post implantation,Mus musculus,BALB/c,,,,,whole brain,
GSE38675,GSM947439,2012,whole brain of PBS injected control mice at day 28 post opertation,Mus musculus,BALB/c,,,,,whole brain,
GSE38675,GSM947440,2012,whole brain of PBS injected control mice at day 28 post opertation,Mus musculus,BALB/c,,,,,whole brain,
GSE38675,GSM947441,2012,whole brain of PBS injected control mice at day 28 post opertation,Mus musculus,BALB/c,,,,,whole brain,
GSE38675,GSM947442,2012,whole brain of PBS injected control mice at day 28 post opertation,Mus musculus,BALB/c,,,,,whole brain,
GSE38675,GSM947443,2012,whole brain of PBS injected control mice at day 28 post opertation,Mus musculus,BALB/c,,,,,whole brain,
GSE38688,GSM947552,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947553,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947554,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947555,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947556,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947557,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947558,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947559,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947560,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947561,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947562,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947563,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947564,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947565,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947566,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947567,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947568,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947569,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947570,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947571,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947572,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947573,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947574,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947575,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947576,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947577,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947578,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947579,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947580,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947581,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947582,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38688,GSM947583,2012,mouse liver,Mus musculus,ApoE3Leiden,,,,,,
GSE38702,GSM947964,2012,mature sperm,Mus musculus,CD1,,,,,mature sperm released from cauda epididymis,
GSE38702,GSM947965,2012,adult testis,Mus musculus,CD1,,,,,,
GSE38702,GSM947966,2012,adult uterus,Mus musculus,CD1,,,,,,
GSE38704,GSM947970,2012,"Sorted naïve TH cells (CD4+CD25–CD62Lhigh) from RORc+/+ mice, undifferentiated",Mus musculus,C57BL/6,,,,,naïve T cells,
GSE38704,GSM947971,2012,"Sorted naïve TH cells (CD4+CD25–CD62Lhigh) from RORc+/+ mice, differentiated under TH17 polarizing conditions",Mus musculus,C57BL/6,,,,,Th17 cells,
GSE38704,GSM947972,2012,"Sorted naïve TH cells (CD4+CD25–CD62Lhigh) from RORc-/- mice, undifferentiated",Mus musculus,C57BL/6,,,,,naïve T cells,
GSE38704,GSM947973,2012,"Sorted naïve TH cells (CD4+CD25–CD62Lhigh) from RORc-/- mice, differentiated under TH17 polarizing conditions",Mus musculus,C57BL/6,,,,,Th17 cells,
GSE38725,GSM948686,2012,Stallion Spermatozoa,Equus caballus,,,,,,,
GSE38725,GSM948687,2012,Stallion Spermatozoa,Equus caballus,,,,,,,
GSE38737,GSM948840,2012,testis,Mus musculus,C57BL/6J-129ola-Fvb,12 weeks,,,,,
GSE38737,GSM948841,2012,testis,Mus musculus,C57BL/6J-129ola-Fvb,12 weeks,,,,,
GSE38737,GSM948842,2012,testis,Mus musculus,C57BL/6J-129ola-Fvb,12 weeks,,,,,
GSE38737,GSM948843,2012,testis,Mus musculus,C57BL/6J-129ola-Fvb,12 weeks,,,,,
GSE38737,GSM948844,2012,testis,Mus musculus,C57BL/6J-129ola-Fvb,12 weeks,,,,,
GSE38737,GSM948845,2012,testis,Mus musculus,C57BL/6J-129ola-Fvb,12 weeks,,,,,
GSE38737,GSM948846,2012,testis,Mus musculus,C57BL/6J-129ola-Fvb,12 weeks,,,,,
GSE38737,GSM948847,2012,testis,Mus musculus,C57BL/6J-129ola-Fvb,12 weeks,,,,,
GSE38737,GSM948848,2012,spleen,Mus musculus,C57BL/6J-129ola-Fvb,12 weeks,,,,,
GSE38737,GSM948849,2012,spleen,Mus musculus,C57BL/6J-129ola-Fvb,12 weeks,,,,,
GSE38737,GSM948850,2012,spleen,Mus musculus,C57BL/6J-129ola-Fvb,12 weeks,,,,,
GSE38737,GSM948851,2012,spleen,Mus musculus,C57BL/6J-129ola-Fvb,12 weeks,,,,,
GSE38737,GSM948852,2012,spleen,Mus musculus,C57BL/6J-129ola-Fvb,12 weeks,,,,,
GSE38737,GSM948853,2012,spleen,Mus musculus,C57BL/6J-129ola-Fvb,12 weeks,,,,,
GSE38737,GSM948854,2012,spleen,Mus musculus,C57BL/6J-129ola-Fvb,12 weeks,,,,,
GSE38737,GSM948855,2012,spleen,Mus musculus,C57BL/6J-129ola-Fvb,12 weeks,,,,,
GSE38737,GSM948856,2012,brain,Mus musculus,C57BL/6J-129ola-Fvb,19 weeks,,,,,
GSE38737,GSM948857,2012,brain,Mus musculus,C57BL/6J-129ola-Fvb,19 weeks,,,,,
GSE38737,GSM948858,2012,brain,Mus musculus,C57BL/6J-129ola-Fvb,19 weeks,,,,,
GSE38737,GSM948859,2012,brain,Mus musculus,C57BL/6J-129ola-Fvb,19 weeks,,,,,
GSE38737,GSM948860,2012,brain,Mus musculus,C57BL/6J-129ola-Fvb,19 weeks,,,,,
GSE38737,GSM948861,2012,brain,Mus musculus,C57BL/6J-129ola-Fvb,19 weeks,,,,,
GSE38737,GSM948862,2012,brain,Mus musculus,C57BL/6J-129ola-Fvb,19 weeks,,,,,
GSE38737,GSM948863,2012,brain,Mus musculus,C57BL/6J-129ola-Fvb,19 weeks,,,,,
GSE38742,GSM948904,2012,primary tumor shRNA OS Tibia Rbfl/+ P53.1224,Mus musculus,C57Bl6,,,,,,
GSE38742,GSM948905,2012,primary tumor shRNA OS Tibia Rb+/+ P53.1224,Mus musculus,C57Bl6,,,,,,
GSE38742,GSM948906,2012,primary tumor shRNA OS Tibia Rbfl/+ P53.1224,Mus musculus,C57Bl6,,,,,,
GSE38742,GSM948907,2012,primary tumor shRNA OS Humerus Rbfl/+ P53.1224,Mus musculus,C57Bl6,,,,,,
GSE38742,GSM948908,2012,primary tumor Cre:lox OS Scapula Rb+/+ P53fl/fl,Mus musculus,C57Bl6,,,,,,
GSE38742,GSM948909,2012,primary tumor Cre:lox OS Humerus Rbfl/+ P53fl/fl,Mus musculus,C57Bl6,,,,,,
GSE38742,GSM948910,2012,primary tumor Cre:lox OS Tibia Rbfl/+ P53fl/fl,Mus musculus,C57Bl6,,,,,,
GSE38742,GSM948911,2012,primary tumor Cre:lox OS Tibia Rbfl/+ P53fl/fl,Mus musculus,C57Bl6,,,,,,
GSE38810,GSM949931,2012,"Tot2 cells, MSCV transuced, Day4, replicate 1",Mus musculus,,,,,,,
GSE38810,GSM949932,2012,"Tot2 cells, MSCV transuced, Day4, replicate 2",Mus musculus,,,,,,,
GSE38810,GSM949933,2012,"Tot2 cells, MSCV-IRF8 transuced, Day4, replicate 1",Mus musculus,,,,,,,
GSE38810,GSM949934,2012,"Tot2 cells, MSCV-IRF8 transuced, Day4, replicate 2",Mus musculus,,,,,,,
GSE38810,GSM949935,2012,"Tot2 cells, MSCV-KLF4 transuced, Day4, replicate 1",Mus musculus,,,,,,,
GSE38810,GSM949936,2012,"Tot2 cells, MSCV-KLF4 transuced, Day4, replicate 2",Mus musculus,,,,,,,
GSE38824,GSM950321,2012,"Tot2 cells, MSCV transuced, Day3",Mus musculus,,,,,,,
GSE38824,GSM950322,2012,"Tot2 cells, MSCV transuced, Day3",Mus musculus,,,,,,,
GSE38824,GSM950323,2012,"Tot2 cells, MSCV-IRF8 transuced, Day3",Mus musculus,,,,,,,
GSE38824,GSM950324,2012,"Tot2 cells, MSCV-IRF8 transuced, Day3",Mus musculus,,,,,,,
GSE38824,GSM950325,2012,"Tot2 cells, MSCV-IRF8 transuced, Day3",Mus musculus,,,,,,,
GSE38824,GSM1031977,2012,"Tot2 cells, MSCV-IRF8 transduced, Day3",Mus musculus,,,,,,Myeloid progenitor cells,
GSE38825,GSM949931,2012,"Tot2 cells, MSCV transuced, Day4, replicate 1",Mus musculus,,,,,,,
GSE38825,GSM949932,2012,"Tot2 cells, MSCV transuced, Day4, replicate 2",Mus musculus,,,,,,,
GSE38825,GSM949933,2012,"Tot2 cells, MSCV-IRF8 transuced, Day4, replicate 1",Mus musculus,,,,,,,
GSE38825,GSM949934,2012,"Tot2 cells, MSCV-IRF8 transuced, Day4, replicate 2",Mus musculus,,,,,,,
GSE38825,GSM949935,2012,"Tot2 cells, MSCV-KLF4 transuced, Day4, replicate 1",Mus musculus,,,,,,,
GSE38825,GSM949936,2012,"Tot2 cells, MSCV-KLF4 transuced, Day4, replicate 2",Mus musculus,,,,,,,
GSE38825,GSM950321,2012,"Tot2 cells, MSCV transuced, Day3",Mus musculus,,,,,,,
GSE38825,GSM950322,2012,"Tot2 cells, MSCV transuced, Day3",Mus musculus,,,,,,,
GSE38825,GSM950323,2012,"Tot2 cells, MSCV-IRF8 transuced, Day3",Mus musculus,,,,,,,
GSE38825,GSM950324,2012,"Tot2 cells, MSCV-IRF8 transuced, Day3",Mus musculus,,,,,,,
GSE38825,GSM950325,2012,"Tot2 cells, MSCV-IRF8 transuced, Day3",Mus musculus,,,,,,,
GSE38825,GSM1031977,2012,"Tot2 cells, MSCV-IRF8 transduced, Day3",Mus musculus,,,,,,Myeloid progenitor cells,
GSE38850,GSM950710,2012,RNA from Embryonic Stem Cells,Mus musculus,,,,,,,
GSE38850,GSM950711,2012,RNA from Embryonic Stem Cells,Mus musculus,,,,,,,
GSE38850,GSM950712,2012,RNA from Embryonic Stem Cells,Mus musculus,,,,,,,
GSE38850,GSM950713,2012,RNA from Neural Precursor Cells,Mus musculus,,,,,,,
GSE38850,GSM950714,2012,RNA from Neural Precursor Cells,Mus musculus,,,,,,,
GSE38850,GSM950715,2012,RNA from Neural Precursor Cells,Mus musculus,,,,,,,
GSE38983,GSM953260,2012,"intestine, ileum, normal tissue, WT, MeDIP",Mus musculus,C57BL/6J,15-19 weeks,,,,,male
GSE38983,GSM953261,2012,"intestine, ileum, normal tissue, WT, MeDIP",Mus musculus,C57BL/6J,15-19 weeks,,,,,male
GSE38983,GSM953262,2012,"intestine, ileum, normal tissue, WT, MeDIP",Mus musculus,C57BL/6J,15-19 weeks,,,,,male
GSE38983,GSM953263,2012,"intestine, ileum, normal tissue, Apc-Min/+, MeDIP",Mus musculus,C57BL/6J,15-19 weeks,,,,,male
GSE38983,GSM953264,2012,"intestine, ileum, normal tissue, Apc-Min/+, MeDIP",Mus musculus,C57BL/6J,15-19 weeks,,,,,male
GSE38983,GSM953265,2012,"intestine, ileum, normal tissue, Apc-Min/+, MeDIP",Mus musculus,C57BL/6J,15-19 weeks,,,,,male
GSE38983,GSM953266,2012,"intestine, ileum, adenoma, Apc-Min/+, MeDIP",Mus musculus,C57BL/6J,15-19 weeks,,,,,male
GSE38983,GSM953267,2012,"intestine, ileum, adenoma, Apc-Min/+, MeDIP",Mus musculus,C57BL/6J,15-19 weeks,,,,,male
GSE38983,GSM953268,2012,"intestine, ileum, adenoma, Apc-Min/+, MeDIP",Mus musculus,C57BL/6J,15-19 weeks,,,,,male
GSE38983,GSM953269,2012,"intestine, ileum, adenoma, Apc-Min/+, MeDIP",Mus musculus,C57BL/6J,15-19 weeks,,,,,male
GSE38983,GSM953270,2012,"intestine, ileum, adenoma, Apc-Min/+, MeDIP",Mus musculus,C57BL/6J,15-19 weeks,,,,,male
GSE38983,GSM953271,2012,"intestine, ileum, adenoma, Apc-Min/+, input",Mus musculus,C57BL/6J,15-19 weeks,,,,,male
GSE38983,GSM953272,2012,"intestine, ileum, normal tissue, Apc-Min/+, input",Mus musculus,C57BL/6J,15-19 weeks,,,,,male
GSE38983,GSM953273,2012,"intestine, ileum, normal tissue, WT, input",Mus musculus,C57BL/6J,15-19 weeks,,,,,male
GSE38983,GSM953274,2012,"intestine, ileum, normal tissue, WT",Mus musculus,C57BL/6J,15-19 weeks,,,,,male
GSE38983,GSM953275,2012,"intestine, ileum, normal tissue, WT",Mus musculus,C57BL/6J,15-19 weeks,,,,,male
GSE38983,GSM953276,2012,"intestine, ileum, normal tissue, Apc-Min/+",Mus musculus,C57BL/6J,15-19 weeks,,,,,male
GSE38983,GSM953277,2012,"intestine, ileum, normal tissue, Apc-Min/+",Mus musculus,C57BL/6J,15-19 weeks,,,,,male
GSE38983,GSM953278,2012,"intestine, ileum, adenoma, Apc-Min/+",Mus musculus,C57BL/6J,15-19 weeks,,,,,male
GSE38983,GSM953279,2012,"intestine, ileum, adenoma, Apc-Min/+",Mus musculus,C57BL/6J,15-19 weeks,,,,,male
GSE38983,GSM953280,2012,"intestine, ileum, adenoma, Apc-Min/+",Mus musculus,C57BL/6J,15-19 weeks,,,,,male
GSE38985,GSM953285,2012,60 days infected liver,Mus musculus,Balb/c,3-3.5 month,,,,,
GSE38985,GSM953286,2012,60 days infected liver,Mus musculus,Balb/c,3-3.5 month,,,,,
GSE38985,GSM953287,2012,Normal liver,Mus musculus,Balb/c,3-3.5 month,,,,,
GSE38985,GSM953288,2012,Normal liver,Mus musculus,Balb/c,3-3.5 month,,,,,
GSE38985,GSM953289,2012,Normal liver,Mus musculus,Balb/c,3-3.5 month,,,,,
GSE38995,GSM953387,2012,overfeeding group,Mus musculus,C57BL/6,,,,,,
GSE38995,GSM953388,2012,overfeeding group,Mus musculus,C57BL/6,,,,,,
GSE38995,GSM953389,2012,overfeeding group,Mus musculus,C57BL/6,,,,,,
GSE38995,GSM953390,2012,overfeeding group,Mus musculus,C57BL/6,,,,,,
GSE38995,GSM953391,2012,normal feeding group,Mus musculus,C57BL/6,,,,,,
GSE38995,GSM953392,2012,normal feeding group,Mus musculus,C57BL/6,,,,,,
GSE38995,GSM953393,2012,normal feeding group,Mus musculus,C57BL/6,,,,,,
GSE38995,GSM953394,2012,normal feeding group,Mus musculus,C57BL/6,,,,,,
GSE39029,GSM954238,2012,fetal lung tissue,Macaca nemestrina,,,,,,,
GSE39029,GSM954239,2012,fetal lung tissue,Macaca nemestrina,,,,,,,
GSE39029,GSM954240,2012,fetal lung tissue,Macaca nemestrina,,,,,,,
GSE39029,GSM954241,2012,fetal lung tissue,Macaca nemestrina,,,,,,,
GSE39029,GSM954242,2012,fetal lung tissue,Macaca nemestrina,,,,,,,
GSE39029,GSM954243,2012,fetal lung tissue,Macaca nemestrina,,,,,,,
GSE39029,GSM954244,2012,fetal lung tissue,Macaca nemestrina,,,,,,,
GSE39029,GSM954245,2012,fetal lung tissue,Macaca nemestrina,,,,,,,
GSE39029,GSM954246,2012,fetal lung tissue,Macaca nemestrina,,,,,,,
GSE39029,GSM954247,2012,fetal lung tissue,Macaca nemestrina,,,,,,,
GSE39064,GSM954975,2012,E12.5 mouse mesothelial cells,Mus musculus,C57Bl6,E12.5 embryo,,,,,
GSE39064,GSM954976,2012,E12.5 mouse liver cells,Mus musculus,C57Bl6,E12.5 embryo,,,,,
GSE39103,GSM956161,2012,Lin- hematopoietic progenitors,Mus musculus,C57BL6,,,,,,
GSE39103,GSM956162,2012,Lin- hematopoietic progenitors,Mus musculus,C57BL6,,,,,,
GSE39103,GSM956163,2012,Lin- hematopoietic progenitors,Mus musculus,C57BL6,,,,,,
GSE39103,GSM956164,2012,Lin- hematopoietic progenitors,Mus musculus,C57BL6,,,,,,
GSE39103,GSM956165,2012,Lin- hematopoietic progenitors,Mus musculus,C57BL6,,,,,,
GSE39103,GSM956166,2012,Lin- hematopoietic progenitors,Mus musculus,C57BL6,,,,,,
GSE39104,GSM854160,2011,Lin- Rosa26rtTA cells untransduced,Mus musculus,,,,,,Lin- hematopoietic progenitors,
GSE39104,GSM854161,2011,Lin- Rosa26rtTA cells untransduced,Mus musculus,,,,,,Lin- hematopoietic progenitors,
GSE39104,GSM854162,2011,Lin- Rosa26rtTA cells untransduced,Mus musculus,,,,,,Lin- hematopoietic progenitors,
GSE39104,GSM854163,2011,Lin- Rosa26rtTA cells transduced with pRRL.TET.EVI1.IRES.EGFP,Mus musculus,,,,,,Lin- hematopoietic progenitors,
GSE39104,GSM854164,2011,Lin- Rosa26rtTA cells transduced with pRRL.TET.EVI1.IRES.EGFP,Mus musculus,,,,,,Lin- hematopoietic progenitors,
GSE39104,GSM854165,2011,Lin- Rosa26rtTA cells transduced with pRRL.TET.EVI1.IRES.EGFP,Mus musculus,,,,,,Lin- hematopoietic progenitors,
GSE39104,GSM956161,2012,Lin- hematopoietic progenitors,Mus musculus,C57BL6,,,,,,
GSE39104,GSM956162,2012,Lin- hematopoietic progenitors,Mus musculus,C57BL6,,,,,,
GSE39104,GSM956163,2012,Lin- hematopoietic progenitors,Mus musculus,C57BL6,,,,,,
GSE39104,GSM956164,2012,Lin- hematopoietic progenitors,Mus musculus,C57BL6,,,,,,
GSE39104,GSM956165,2012,Lin- hematopoietic progenitors,Mus musculus,C57BL6,,,,,,
GSE39104,GSM956166,2012,Lin- hematopoietic progenitors,Mus musculus,C57BL6,,,,,,
GSE39119,GSM956412,2012,"Lewis female, virgin ,healthy control",Rattus norvegicus,Lewis,16 wks,,,,,
GSE39119,GSM956413,2012,"Lewis female, virgin ,healthy control",Rattus norvegicus,Lewis,16 wks,,,,,
GSE39119,GSM956414,2012,"Lewis female, virgin ,healthy control",Rattus norvegicus,Lewis,16 wks,,,,,
GSE39119,GSM956415,2012,"Lewis female, virgin ,healthy control",Rattus norvegicus,Lewis,16 wks,,,,,
GSE39119,GSM956416,2012,"Lewis female, virgin ,MBP EAE",Rattus norvegicus,Lewis,16 wks,,,,,
GSE39119,GSM956417,2012,"Lewis female, virgin ,MBP EAE",Rattus norvegicus,Lewis,16 wks,,,,,
GSE39119,GSM956418,2012,"Lewis female, virgin ,MBP EAE",Rattus norvegicus,Lewis,16 wks,,,,,
GSE39119,GSM956419,2012,"Lewis female, virgin ,MBP EAE",Rattus norvegicus,Lewis,16 wks,,,,,
GSE39154,GSM957084,2012,E14 ES cells,Mus musculus,129/Ola,,,,,E14 ES cells,
GSE39154,GSM957085,2012,E14 ES cells,Mus musculus,129/Ola,,,,,E14 ES cells,
GSE39159,GSM957172,2012,"Soleus muscle, basal state, Ts65Dn",Mus musculus,Ts65Dn,5 months,,,,,male
GSE39159,GSM957173,2012,"Soleus muscle, basal state, Ts65Dn",Mus musculus,Ts65Dn,5 months,,,,,male
GSE39159,GSM957174,2012,"Soleus muscle, basal state, Ts65Dn",Mus musculus,Ts65Dn,5 months,,,,,male
GSE39159,GSM957175,2012,"Soleus muscle, basal state, Ts65Dn",Mus musculus,Ts65Dn,5 months,,,,,male
GSE39159,GSM957176,2012,"Soleus muscle, basal state, WT",Mus musculus,B6EiC3SnF1/J (mix of B6 and C3H background),5 months,,,,,male
GSE39159,GSM957177,2012,"Soleus muscle, basal state, WT",Mus musculus,B6EiC3SnF1/J (mix of B6 and C3H background),5 months,,,,,male
GSE39159,GSM957178,2012,"Soleus muscle, basal state, WT",Mus musculus,B6EiC3SnF1/J (mix of B6 and C3H background),5 months,,,,,male
GSE39159,GSM957179,2012,"Soleus muscle, basal state, WT",Mus musculus,B6EiC3SnF1/J (mix of B6 and C3H background),5 months,,,,,male
GSE39220,GSM958302,2012,Liver,Mus musculus,,,,,,,
GSE39220,GSM958303,2012,Liver,Mus musculus,,,,,,,
GSE39220,GSM958304,2012,Liver,Mus musculus,,,,,,,
GSE39220,GSM958305,2012,Liver,Mus musculus,,,,,,,
GSE39220,GSM958306,2012,Liver,Mus musculus,,,,,,,
GSE39220,GSM958307,2012,Liver,Mus musculus,,,,,,,
GSE39220,GSM958308,2012,Liver,Mus musculus,,,,,,,
GSE39220,GSM958309,2012,Liver,Mus musculus,,,,,,,
GSE39220,GSM958310,2012,Liver,Mus musculus,,,,,,,
GSE39220,GSM958311,2012,Liver,Mus musculus,,,,,,,
GSE39220,GSM958312,2012,Liver,Mus musculus,,,,,,,
GSE39220,GSM958313,2012,Liver,Mus musculus,,,,,,,
GSE39224,GSM958331,2012,Dullard-heterozygous,Mus musculus,C57BL/6,,,,,,
GSE39224,GSM958332,2012,Dullard-homozygous,Mus musculus,C57BL/6,,,,,,
GSE39270,GSM959219,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959220,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959221,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959222,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959223,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959224,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959225,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959226,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959227,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959228,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959229,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959230,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959231,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959232,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959233,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959234,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959235,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959236,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959237,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959238,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959239,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959240,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959241,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959242,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959243,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959244,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959245,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959246,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959247,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959248,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959249,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959250,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959251,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959252,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959253,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39270,GSM959254,2012,Cortical astrocyte culture,Mus musculus,C57B/6,,,,,,
GSE39273,GSM959587,2012,Colon cancer tumor (control),Mus musculus,CBA/C57BL/6,,,,,,
GSE39273,GSM959588,2012,Colon cancer tumor (control),Mus musculus,CBA/C57BL/6,,,,,,
GSE39273,GSM959589,2012,Colon cancer tumor (control),Mus musculus,CBA/C57BL/6,,,,,,
GSE39273,GSM959590,2012,IL8 human transgenic mouse colon cancer tumor (control),Mus musculus,CBA/C57BL/6,,,,,,
GSE39273,GSM959591,2012,IL8 human transgenic mouse colon cancer tumor (control),Mus musculus,CBA/C57BL/6,,,,,,
GSE39273,GSM959592,2012,IL8 human transgenic mouse colon cancer tumor (control),Mus musculus,CBA/C57BL/6,,,,,,
GSE39275,GSM959617,2012,primary MEFs,Mus musculus,C57BL/6,,,,,,
GSE39275,GSM959618,2012,primary MEFs,Mus musculus,C57BL/6,,,,,,
GSE39301,GSM960459,2012,LIXs 24 hr Dox,Mus musculus,FVB,10 wks,,,,,
GSE39301,GSM960460,2012,WT  24 hr Dox,Mus musculus,FVB,10 wks,,,,,
GSE39301,GSM960461,2012,LIXs 48 hr Dox,Mus musculus,FVB,10 wks,,,,,
GSE39301,GSM960462,2012,WT  48 hr Dox,Mus musculus,FVB,10 wks,,,,,
GSE39301,GSM960463,2012,WT 2 hr refeed control,Mus musculus,FVB,10 wks,,,,,
GSE39301,GSM960464,2012,WT 24 hr fast control,Mus musculus,FVB,10 wks,,,,,
GSE39302,GSM960465,2012,pachytene_wild type,Mus musculus,,,,,,,
GSE39302,GSM960466,2012,pachytene_wild type,Mus musculus,,,,,,,
GSE39302,GSM960467,2012,pachytene_RNF8-KO,Mus musculus,,,,,,,
GSE39302,GSM960468,2012,pachytene_RNF8-KO,Mus musculus,,,,,,,
GSE39302,GSM960469,2012,round spermatids_wild type,Mus musculus,,,,,,,
GSE39302,GSM960470,2012,round spermatids_wild type,Mus musculus,,,,,,,
GSE39302,GSM960471,2012,round spermatids_RNF8-KO,Mus musculus,,,,,,,
GSE39302,GSM960472,2012,round spermatids_RNF8-KO,Mus musculus,,,,,,,
GSE39304,GSM960509,2012,"Saline, 7d",Mus musculus,BALB/cJ,,,,,,
GSE39304,GSM960510,2012,"Saline, 7d",Mus musculus,BALB/cJ,,,,,,
GSE39304,GSM960511,2012,"Saline, 7d",Mus musculus,BALB/cJ,,,,,,
GSE39304,GSM960512,2012,"Saline, 7d",Mus musculus,BALB/cJ,,,,,,
GSE39304,GSM960513,2012,"Saline, 7d",Mus musculus,BALB/cJ,,,,,,
GSE39304,GSM960514,2012,"Saline, 7d",Mus musculus,BALB/cJ,,,,,,
